0 36 72 108 144
1 37 73 109 145
2 38 74 110 146
3 39 75 111 147
4 40 76 112 148
5 41 77 113 149
6 42 78 114 150
7 43 79 115 151
8 44 80 116 152
9 45 81 117 153
10 46 82 118 154
11 47 83 119 155
12 48 84 120 156
13 49 85 121 157
14 50 86 122 158
15 51 87 123 159
16 52 88 124 160
17 53 89 125 161
18 54 90 126 162
19 55 91 127 163
20 56 92 128 164
21 57 93 129 165
22 58 94 130 166
23 59 95 131 167
24 60 96 132 168
25 61 97 133 169
26 62 98 134 170
27 63 99 135 171
28 64 100 136 172
29 65 101 137 173
30 66 102 138 174
31 67 103 139 175
32 68 104 140 176
33 69 105 141 177
34 70 106 142 178
35 71 107 143 179
